source,name from website,Group_Name_Eng,Group_Name_TH,option,weight (kg),selling price (THB),price per kg (THB),link
ไต้ก๋ง ซีฟู้ด,ปลากระบอก ปลาล้อบัน (ปลาลอบัน),Mullet,ปลากระบอก,300 กรัม,0.3,100,333,https://taikongseafood.com/product/mullet/
ไต้ก๋ง ซีฟู้ด,ปลากระบอก ปลาล้อบัน (ปลาลอบัน),Mullet,ปลากระบอก,1.1 กิโล,1.1,300,273,https://taikongseafood.com/product/mullet/
ไต้ก๋ง ซีฟู้ด,หมึกไข่ หมึกกล้วยไข่,Squid,หมึก,XL : 4-6 ตัวโล,1,450,450,https://taikongseafood.com/product/squid-eggs/
ไต้ก๋ง ซีฟู้ด,หมึกไข่ หมึกกล้วยไข่,Squid,หมึก,L : 7-10 ตัวโล,1,400,400,https://taikongseafood.com/product/squid-eggs/
ไต้ก๋ง ซีฟู้ด,หมึกไข่ หมึกกล้วยไข่,Squid,หมึก,M : 12-18 ตัวโล,1,350,350,https://taikongseafood.com/product/squid-eggs/
ไต้ก๋ง ซีฟู้ด,กุ้งแกะเปลือก กุ้งแชบ๊วย กุ้งลายเสือ,Tiger Prawn,กุ้งลายเสือ,-,0.25,220,880,https://taikongseafood.com/product/shrimp-ready-to-cook/
ไต้ก๋ง ซีฟู้ด,กุ้งลายเสือ,Tiger Prawn,กุ้งลายเสือ,10-12 ตัวโล,1,850,850,https://taikongseafood.com/product/tiger-prawn/
ไต้ก๋ง ซีฟู้ด,กุ้งลายเสือ,Tiger Prawn,กุ้งลายเสือ,13-16 ตัวโล,1,800,800,https://taikongseafood.com/product/tiger-prawn/
ไต้ก๋ง ซีฟู้ด,กุ้งลายเสือ,Tiger Prawn,กุ้งลายเสือ,20-25 ตัวโล,1,650,650,https://taikongseafood.com/product/tiger-prawn/
ไต้ก๋ง ซีฟู้ด,กุ้งลายเสือ,Tiger Prawn,กุ้งลายเสือ,26-30 ตัวโล,1,550,550,https://taikongseafood.com/product/tiger-prawn/
ไต้ก๋ง ซีฟู้ด,กุ้งลายเสือ,Tiger Prawn,กุ้งลายเสือ,31-35 ตัวโล,1,450,450,https://taikongseafood.com/product/tiger-prawn/
ไต้ก๋ง ซีฟู้ด,กุ้งแชบ๊วย,Banana Prawn,กุ้งแชบ๊วย,17-20 ตัวโล,1,650,650,https://taikongseafood.com/product/banana-shrimp/
ไต้ก๋ง ซีฟู้ด,กุ้งแชบ๊วย,Banana Prawn,กุ้งแชบ๊วย,21-25 ตัวโล,1,550,550,https://taikongseafood.com/product/banana-shrimp/
ไต้ก๋ง ซีฟู้ด,กุ้งแชบ๊วย,Banana Prawn,กุ้งแชบ๊วย,26-30 ตัวโล,1,520,520,https://taikongseafood.com/product/banana-shrimp/
ไต้ก๋ง ซีฟู้ด,กุ้งแชบ๊วย,Banana Prawn,กุ้งแชบ๊วย,31-35 ตัวโล,1,450,450,https://taikongseafood.com/product/banana-shrimp/
ไต้ก๋ง ซีฟู้ด,ปลาสำลี,Black-banded Trevally,ปลาสำลี,-,1,380,380,https://taikongseafood.com/product/%E0%B8%9B%E0%B8%A5%E0%B8%B2%E0%B8%AA%E0%B8%B3%E0%B8%A5%E0%B8%B5
ไต้ก๋ง ซีฟู้ด,ปลาแดง หรือ ปลาทรายแดง,Sand Whiting,ปลาทราย,-,1,250,250,https://taikongseafood.com/product/red-fish/
